entitas	nomor surat	nomor ayat
pengikut-pengikut Fir‘aun	2	49
pengikut-pengikut Fir‘aun	2	50
manna	2	57
salwa	2	57
Kerajaan Sulaiman	2	102
musyrik Arab	2	113
orang Nasrani	2	113
bulan haram	2	217
keluarga Harun	2	248
keluarga Musa	2	248
tentara Jalut	2	251
tentara Talut	2	251
Al-Furqān	3	4
pengikut Fir‘aun	3	11
keluarga Ibrahim	3	33
keluarga Imran	3	33
istri Imran	3	35
musyrik Makkah	4	51
keluarga Ibrahim	4	54
Almasih putra Maryam	5	17
Almasih putra Maryam	5	72
Almasih putra Maryam	5	75
bulan haram	5	97
Habil	5	27
Jahim	5	10
Jahim	5	86
orang Nasrani	5	14
orang Nasrani	5	18
orang Nasrani	5	82
pengikut Injil	5	47
Qabil	5	27
Qabil	5	28
Qabil	5	30
Qabil	5	31
Sabiin	5	69
(Allah	6	130
kaum Nuh	7	69
penduduk Madyan	7	85
kaum Fir‘aun	7	109
kaum Fir‘aun	7	127
kaum Musa	7	129
kaum Fir‘aun	7	132
pengikut Fir‘aun	7	141
Kaum Musa	7	148
kaum Musa	7	159
manna	7	160
salwa	7	160
Sabat	7	163
Dārussalām	10	25
padang Mahsyar	10	30
kaum Yunus	10	98
hari Sabtu	16	124